plads: 1,seng: 0,nej,-0.977611109852,-4.76815843297,0.999969598315,0.0
plads: 2,seng: 4,ja,-2.19076253345,-4.5281383973,-0.069183781572,0.0
plads: 3,seng: 3,ja,-0.983875704646,-1.24285431477,-0.00950130505035,0.0
plads: 4,seng: 0,nej,-2.39548717944,-1.35334350136,-0.9923277824885,0.0
plads: 5,seng: 2,ja,-1.2707,2.39666,0.031657,0.0
plads: 6,seng: 0,nej,-2.44001,2.22216,0.999615,0.0
plads: 7,seng: 0,nej,-1.09843,5.75078,-0.0323897,0.0
plads: 8,seng: 5,ja,-2.35178,5.64116,-0.999414,0.0
plads: 9,seng: 1,ja,-1.49981,9.16091,0.0794783,0.0
plads: 10,seng: 0,nej,-2.65081,8.76744,-0.998554,0.0
plads: 11,seng: 6,ja,-1.03911781216,11.1295263925,0.753757344949,0.0
